PERIOD,YEAR,STATS_VALUE
June,1990,8.7
September,1990,9.9
October,1990,14.5
November,1990,15
December,1990,17.1
January,1991,18
April,1991,13.1
May,1991,10.4
June,1991,8.8
July,1991,7.5
September,1991,11.1
October,1991,12.5
November,1991,12.9
December,1991,15.8
January,1992,17.4
February,1992,17.4
March,1992,14.7
April,1992,11.2
May,1992,10
June,1992,8.3
July,1992,9.4
August,1992,9.1
September,1992,9.7
October,1992,11.7
November,1992,15.1
December,1992,16.6
January,1993,16.7
February,1993,17.7
March,1993,15.4
April,1993,12.9
May,1993,11.5
June,1993,10.6
July,1993,8.1
August,1993,8.8
September,1993,9.7
October,1993,12.6
November,1993,13.4
December,1993,15.7
January,1994,18.7
February,1994,19.6
March,1994,15.6
April,1994,13.7
May,1994,12.1
June,1994,8.7
July,1994,8.7
August,1994,9.2
September,1994,10.4
October,1994,12.2
November,1994,14.2
December,1994,16.9
January,1995,18.5
February,1995,19.1
March,1995,17.4
April,1995,16.4
May,1995,12
June,1995,9.6
July,1995,8.5
August,1995,8.8
September,1995,11.4
October,1995,12.7
December,1995,18.1
January,1996,19.7
February,1996,19.3
March,1996,15.6
April,1996,15.5
May,1996,11
June,1996,8.6
July,1996,9.2
August,1996,9.6
September,1996,12.5
October,1996,13.2
November,1996,13.5
December,1996,16
January,1997,17.2
February,1997,18.9
March,1997,16.6
April,1997,13.3
May,1997,12.6
June,1997,8.3
July,1997,7.8
August,1997,9.4
September,1997,11.5
October,1997,13.2
November,1997,14.8
December,1997,16.7
January,1998,18.4
February,1998,20.6
March,1998,18.6
April,1998,15.3
May,1998,12.2
June,1998,11.1
July,1998,11.4
August,1998,9.8
September,1998,11.7
October,1998,14.2
November,1998,15.9
December,1998,17.5
January,1999,21.2
February,1999,19.3
March,1999,18.8
April,1999,15
May,1999,12.4
June,1999,9.5
July,1999,8.7
August,1999,8.9
September,1999,11.2
October,1999,13.7
November,1999,15.7
December,1999,16.2
January,2000,18.1
February,2000,18.5
March,2000,17.2
April,2000,15.3
May,2000,12.9
June,2000,10.1
July,2000,11.6
August,2000,9.4
September,2000,11
October,2000,13.4
November,2000,13.3
December,2000,18
January,2001,17.5
February,2001,19.8
March,2001,17.1
April,2001,14.3
May,2001,13.1
June,2001,8.6
July,2001,7.5
August,2001,10.1
September,2001,12
October,2001,14.9
November,2001,15.6
December,2001,18.5
January,2002,18.2
February,2002,18.1
March,2002,17.6
April,2002,14.2
May,2002,12.4
June,2002,12
July,2002,9.6
August,2002,9.5
September,2002,11.6
October,2002,11.3
November,2002,13.4
December,2002,16.7
January,2003,17.6
February,2003,17.9
March,2003,17.8
April,2003,14.6
May,2003,12
June,2003,11.3
July,2003,7.8
August,2003,9.8
September,2003,12.4
October,2003,12.6
November,2003,14.2
December,2003,17.9
January,2004,19.1
February,2004,17.7
March,2004,14.8
April,2004,13.1
May,2004,12.4
June,2004,10.3
July,2004,7.9
August,2004,8.5
September,2004,10.4
October,2004,13.1
November,2004,14.8
December,2004,14.5
January,2005,18.1
February,2005,19.8
March,2005,18.1
April,2005,13.8
May,2005,12.9
June,2005,9.5
July,2005,9.4
August,2005,9.4
September,2005,12
October,2005,13.6
November,2005,14.5
December,2005,17.9
January,2006,18.4
February,2006,18.6
March,2006,16.2
April,2006,15.6
May,2006,11.9
June,2006,7.2
July,2006,8.5
August,2006,9.3
September,2006,11.7
October,2006,12.4
November,2006,14.8
December,2006,14.3
January,2007,18.5
February,2007,18.3
March,2007,17.8
April,2007,13.7
May,2007,12.6
June,2007,9.3
July,2007,10
August,2007,10.4
September,2007,11.5
October,2007,12.7
November,2007,14.2
December,2007,17.8
January,2008,20.4
February,2008,19.2
March,2008,18.2
April,2008,15.5
May,2008,10.6
June,2008,9.8
July,2008,9.2
August,2008,9.9
September,2008,11.5
October,2008,13.3
November,2008,14.9
December,2008,17
January,2009,18.1
February,2009,19.6
March,2009,16.4
April,2009,14.1
May,2009,9.9
June,2009,7.2
July,2009,8.2
August,2009,11.1
September,2009,11.6
October,2009,12.2
November,2009,14.3
December,2009,16.5
January,2010,18.3
February,2010,20.3
March,2010,16.8
April,2010,14.9
May,2010,11.9
June,2010,9.6
July,2010,8.3
August,2010,10.2
September,2010,12
October,2010,12.8
November,2010,15.7
December,2010,19.3
January,2011,19.5
February,2011,20.2
March,2011,17.2
April,2011,14
May,2011,13.4
June,2011,11
July,2011,9.3
August,2011,8.6
September,2011,10.2
October,2011,13.8
November,2011,14.7
December,2011,17.5
January,2012,17.6
February,2012,18.2
March,2012,16.1
April,2012,14.6
May,2012,10.6
June,2012,8.9
July,2012,8.7
August,2012,10.4
September,2012,11.4
October,2012,12.4
November,2012,13.3
December,2012,18.2
January,2013,18.4
February,2013,18.4
March,2013,18.5
April,2013,15.9
May,2013,11.9
June,2013,9.1
July,2013,8.8
August,2013,10.9
September,2013,11.9
October,2013,13.1
November,2013,16.1
December,2013,16.9
January,2014,16.7
February,2014,19
March,2014,16.8
April,2014,16.2
May,2014,11.4
June,2014,11
July,2014,8.6
August,2014,9.3
September,2014,11.9
October,2014,12.9
November,2014,13.5
December,2014,17.1
January,2015,19.5
February,2015,18.4
March,2015,17.9
April,2015,14.8
May,2015,11.5
June,2015,10.1
July,2015,8.3
August,2015,9.2
September,2015,10.9
October,2015,13
November,2015,14.4
December,2015,16.7
January,2016,19.5
February,2016,21.3
March,2016,18.5
April,2016,14.9
May,2016,14
June,2016,10.5
July,2016,9
August,2016,9.3
September,2016,12.7
October,2016,13.3
November,2016,14.8
December,2016,16.1
January,2017,17
February,2017,19.2
March,2017,18.2
April,2017,15.5
May,2017,11.1
June,2017,9.5
July,2017,9.1
August,2017,10.8
September,2017,12.1
October,2017,13.7
November,2017,16.1
December,2017,19
January,2018,21.4
February,2018,19.7
March,2018,18.3
April,2018,15
May,2018,12.3
June,2018,9.3
July,2018,9
August,2018,9.7
September,2018,11.4
October,2018,12.7
November,2018,15
December,2018,18.1
January,2019,19.8
February,2019,19.7
March,2019,19
April,2019,13.8
May,2019,12.4
June,2019,9.1
July,2019,10
August,2019,10.3
September,2019,11.5
October,2019,13.3
November,2019,16.3
December,2019,17.9
January,2020,18.3
February,2020,20
March,2020,17
April,2020,14.4
May,2020,11.3
June,2020,11.1
July,2020,9.3
August,2020,10.4
September,2020,11.4
October,2020,14
November,2020,15.7
December,2020,16.6
January,2021,18.2
February,2021,19.1
March,2021,17.4
April,2021,14.8
May,2021,11.8
June,2021,11
July,2021,8.9
August,2021,9.8
September,2021,11.1
October,2021,14.2
November,2021,17.2
December,2021,19.3
January,2022,19.8
February,2022,20.8
March,2022,18.4
April,2022,15.3
May,2022,12.6
June,2022,10.9
July,2022,10.9
August,2022,10.7
September,2022,11.5
October,2022,13.7
November,2022,16.4
